city,Chambres,Surface_totale_m²,Salles_de_bain,Prix,ipai_t4_2024
Tanger,5,226.964,4.0,1177449,17.7
Tanger,6,313.536,3.0,1765971,17.7
Tanger,2,96.048,2.0,632917,17.7
Tanger,2,103.316,2.0,898793,17.7
Tanger,3,169.004,3.0,1147732,17.7
Tanger,5,226.87199999999999,3.0,1333785,17.7
Tanger,2,78.844,1.0,611398,17.7
Tanger,6,228.16,3.0,1342688,17.7
Tanger,3,141.496,2.0,802456,17.7
Tanger,1,94.944,1.0,651428,17.7
Tanger,1,111.688,2.0,820755,17.7
Tanger,4,128.61599999999999,1.0,911399,17.7
Tanger,6,266.70799999999997,4.0,1346859,17.7
Tanger,5,289.524,3.0,1845198,17.7
Tanger,3,183.356,3.0,1052716,17.7
Tanger,6,316.94,3.0,1651033,17.7
Tanger,5,261.004,4.0,1435050,17.7
Tanger,1,112.884,1.0,918036,17.7
Tanger,6,299.368,4.0,1534077,17.7
Tanger,4,187.496,3.0,1038643,17.7
Tanger,5,314.73199999999997,3.0,1659670,17.7
Tanger,2,114.724,2.0,697926,17.7
Tanger,1,94.76,2.0,672463,17.7
Tanger,5,300.38,4.0,1553542,17.7
Tanger,6,273.792,4.0,1440050,17.7
Tanger,3,184.368,3.0,1145241,17.7
Tanger,3,214.452,3.0,1148427,17.7
Tanger,2,104.05199999999999,1.0,733170,17.7
Tanger,6,267.536,3.0,1342897,17.7
Tanger,4,211.14,2.0,1041516,17.7
Tanger,1,71.66799999999999,2.0,670095,17.7
Tanger,6,233.31199999999998,4.0,1321765,17.7
Tanger,4,137.908,1.0,825377,17.7
Tanger,3,143.33599999999998,2.0,682568,17.7
Tanger,4,166.98,3.0,1091964,17.7
Tanger,3,158.608,2.0,831588,17.7
Tanger,1,78.66,1.0,600384,17.7
Tanger,1,116.472,2.0,691744,17.7
Tanger,3,164.31199999999998,2.0,754675,17.7
Tanger,5,307.372,3.0,1649679,17.7
Tanger,3,209.668,3.0,1171802,17.7
Tanger,5,243.524,4.0,1207242,17.7
Tanger,1,74.152,1.0,524439,17.7
Tanger,5,293.756,4.0,1606044,17.7
Tanger,5,310.5,4.0,1688133,17.7
Tanger,6,320.528,3.0,1665384,17.7
Tanger,1,98.992,2.0,592543,17.7
Tanger,5,238.832,3.0,1155973,17.7
Tanger,3,125.948,1.0,915408,17.7
Tanger,4,148.856,2.0,777645,17.7
Tanger,3,195.5,3.0,1195526,17.7
Tanger,2,84.456,1.0,501282,17.7
Tanger,1,76.636,2.0,548954,17.7
Tanger,5,228.436,4.0,1259643,17.7
Tanger,5,306.084,4.0,1778014,17.7
Tanger,4,196.972,3.0,1132290,17.7
Tanger,6,239.936,3.0,1215084,17.7
Tanger,2,90.068,1.0,437705,17.7
Tanger,3,121.624,1.0,859245,17.7
Tanger,1,105.524,1.0,687151,17.7
Tanger,5,302.864,3.0,1418334,17.7
Tanger,5,243.61599999999999,4.0,1442202,17.7
Tanger,6,268.548,4.0,1448476,17.7
Tanger,2,79.304,2.0,645800,17.7
Tanger,6,224.388,3.0,1411497,17.7
Tanger,3,128.248,1.0,875704,17.7
Tanger,6,282.164,4.0,1676188,17.7
Tanger,5,302.772,3.0,1564468,17.7
Tanger,4,201.388,2.0,947896,17.7
Tanger,3,208.564,2.0,984226,17.7
Tanger,6,253.27599999999998,4.0,1329879,17.7
Tanger,5,256.496,4.0,1352128,17.7
Tanger,6,273.608,3.0,1135860,17.7
Tanger,5,312.156,4.0,1896866,17.7
Tanger,3,173.144,3.0,963900,17.7
Tanger,4,156.308,2.0,924822,17.7
Tanger,2,100.28,1.0,426413,17.7
Tanger,5,259.532,3.0,1113253,17.7
Tanger,1,73.876,2.0,414082,17.7
Tanger,3,184.368,3.0,1141008,17.7
Tanger,2,92.736,1.0,698293,17.7
Tanger,3,205.16,3.0,1024695,17.7
Tanger,3,219.60399999999998,3.0,922052,17.7
Tanger,6,315.468,4.0,1535234,17.7
Tanger,5,224.84799999999998,4.0,1413504,17.7
Tanger,3,138.828,2.0,720830,17.7
Tanger,6,237.636,4.0,1363830,17.7
Tanger,4,148.212,2.0,707368,17.7
Tanger,1,90.16,1.0,624929,17.7
Tanger,5,308.016,3.0,1813877,17.7
Tanger,6,242.60399999999998,3.0,1226150,17.7
Tanger,2,84.456,2.0,486334,17.7
Tanger,3,129.72,2.0,885761,17.7
Tanger,5,318.872,4.0,1485789,17.7
Tanger,3,167.624,2.0,935499,17.7
Tanger,5,285.108,3.0,1650820,17.7
Kentitra,1,100.92399999999999,1.0,655084,10.35
Kentitra,4,147.292,3.0,705898,10.35
Kentitra,4,158.516,2.0,832429,10.35
Kentitra,5,299.092,3.0,1486311,10.35
Kentitra,5,298.264,4.0,1567634,10.35
Kentitra,4,202.492,2.0,1189486,10.35
Kentitra,6,320.528,3.0,1832320,10.35
Kentitra,3,155.84799999999998,2.0,852057,10.35
Kentitra,1,111.044,2.0,726966,10.35
Kentitra,4,197.79999999999998,2.0,1004709,10.35
Kentitra,6,281.98,3.0,1525957,10.35
Kentitra,6,255.484,3.0,1184011,10.35
Kentitra,2,85.56,2.0,687917,10.35
Kentitra,4,169.37199999999999,2.0,1185514,10.35
Kentitra,5,319.332,4.0,1417032,10.35
Kentitra,5,258.428,3.0,1165641,10.35
Kentitra,4,192.924,2.0,1156257,10.35
Kentitra,6,225.768,4.0,1327475,10.35
Kentitra,4,190.256,2.0,924032,10.35
Kentitra,4,187.128,3.0,1059187,10.35
Kentitra,6,258.796,4.0,1307058,10.35
Kentitra,4,147.108,3.0,840277,10.35
Kentitra,6,308.292,3.0,1441505,10.35
Kentitra,4,151.432,3.0,863021,10.35
Kentitra,4,213.34799999999998,2.0,985355,10.35
Kentitra,4,120.98,1.0,770713,10.35
Kentitra,1,103.868,1.0,810284,10.35
Kentitra,5,296.14799999999997,3.0,1864127,10.35
Kentitra,4,172.132,3.0,1077838,10.35
Kentitra,4,184.368,2.0,1146357,10.35
Kentitra,5,283.912,3.0,1618812,10.35
Kentitra,6,226.228,3.0,1143544,10.35
Kentitra,5,294.308,4.0,1481091,10.35
Kentitra,5,222.916,3.0,1260526,10.35
Kentitra,5,272.78,4.0,1127950,10.35
Kentitra,6,252.724,4.0,1106338,10.35
Kentitra,4,173.052,3.0,1066798,10.35
Kentitra,6,305.44,4.0,1758132,10.35
Kentitra,2,70.012,2.0,403540,10.35
Kentitra,3,131.83599999999998,1.0,837284,10.35
Kentitra,5,243.156,3.0,1195776,10.35
Kentitra,4,169.55599999999998,2.0,1167650,10.35
Kentitra,2,96.6,1.0,679211,10.35
Kentitra,1,94.024,2.0,404093,10.35
Kentitra,3,152.444,2.0,763532,10.35
Kentitra,4,214.268,2.0,932895,10.35
Kentitra,6,297.804,4.0,1562596,10.35
Kentitra,6,287.68399999999997,4.0,1739878,10.35
Kentitra,6,294.584,4.0,1705303,10.35
Kentitra,5,239.752,3.0,1356566,10.35
Kentitra,5,305.348,4.0,1871658,10.35
Kentitra,5,256.588,4.0,1393074,10.35
Kentitra,5,254.748,4.0,1214336,10.35
Kentitra,5,232.208,3.0,1296691,10.35
Kentitra,5,265.604,4.0,1323564,10.35
Kentitra,2,85.928,1.0,556291,10.35
Kentitra,3,217.304,2.0,1128728,10.35
Kentitra,3,203.228,3.0,1176357,10.35
Kentitra,1,105.248,1.0,846418,10.35
Kentitra,3,124.2,1.0,819571,10.35
Kentitra,1,96.048,1.0,582579,10.35
Kentitra,4,152.536,2.0,869177,10.35
Kentitra,5,240.12,3.0,1257707,10.35
Kentitra,2,97.336,1.0,641873,10.35
Kentitra,6,249.228,4.0,1208814,10.35
Kentitra,5,264.592,4.0,1443332,10.35
Kentitra,6,312.8,3.0,1620687,10.35
Kentitra,2,114.53999999999999,1.0,775373,10.35
Kentitra,6,226.504,3.0,1240176,10.35
Kentitra,5,308.384,3.0,1656408,10.35
Kentitra,3,130.272,2.0,852140,10.35
Kentitra,1,85.744,2.0,525901,10.35
Kentitra,5,279.312,3.0,1859249,10.35
Kentitra,5,251.344,4.0,1370271,10.35
Kentitra,1,100.28,1.0,606183,10.35
Kentitra,3,180.504,3.0,989401,10.35
Kentitra,2,105.248,2.0,729080,10.35
Kentitra,3,138.828,2.0,865466,10.35
Kentitra,6,264.316,4.0,1202537,10.35
Kentitra,1,95.864,1.0,695303,10.35
Kentitra,2,72.67999999999999,1.0,405032,10.35
Kentitra,3,132.664,2.0,730536,10.35
Kentitra,2,104.972,2.0,904222,10.35
Kentitra,6,240.856,3.0,1401874,10.35
Kentitra,5,233.956,3.0,1224768,10.35
Kentitra,5,289.34,3.0,1575069,10.35
Kentitra,5,259.992,4.0,1446302,10.35
Kentitra,3,198.26,2.0,992161,10.35
Kentitra,6,256.588,3.0,1330396,10.35
Kentitra,4,152.904,2.0,847627,10.35
Kentitra,3,185.84,2.0,920353,10.35
Kentitra,5,245.088,3.0,1413070,10.35
Kentitra,5,284.28,3.0,1538679,10.35
Kentitra,3,144.256,3.0,851730,10.35
Kentitra,4,183.172,2.0,1137061,10.35
Kentitra,4,217.12,3.0,1142057,10.35
Kentitra,5,260.912,4.0,1205413,10.35
Kentitra,5,231.28799999999998,4.0,1268160,10.35
Kentitra,4,132.94,2.0,775566,10.35
Kentitra,1,82.616,1.0,576981,10.35
Ifran,2,87.86,1.0,600768,10.35
Ifran,6,308.2,3.0,1659072,10.35
Ifran,2,71.66799999999999,2.0,464288,10.35
Ifran,5,314.73199999999997,3.0,1560920,10.35
Ifran,4,144.992,2.0,692758,10.35
Ifran,2,91.264,2.0,568861,10.35
Ifran,6,321.356,3.0,1808516,10.35
Ifran,3,198.444,3.0,1033231,10.35
Ifran,4,183.264,3.0,1007169,10.35
Ifran,5,234.968,3.0,1446641,10.35
Ifran,4,134.78,2.0,750969,10.35
Ifran,4,187.956,3.0,1027435,10.35
Ifran,6,284.28,3.0,1820320,10.35
Ifran,4,162.10399999999998,3.0,816605,10.35
Ifran,5,320.068,3.0,1780932,10.35
Ifran,3,188.6,3.0,1060672,10.35
Ifran,3,166.33599999999998,3.0,999124,10.35
Ifran,2,102.12,1.0,837152,10.35
Ifran,3,214.084,2.0,999666,10.35
Ifran,1,105.616,2.0,800894,10.35
Ifran,5,265.972,3.0,1194292,10.35
Ifran,6,258.24399999999997,3.0,1184193,10.35
Ifran,3,163.3,3.0,795284,10.35
Ifran,4,175.076,3.0,956873,10.35
Ifran,6,232.576,4.0,1312160,10.35
Ifran,5,244.168,4.0,1262677,10.35
Ifran,6,262.936,3.0,1305247,10.35
Ifran,4,142.232,3.0,689721,10.35
Ifran,3,199.732,2.0,1004676,10.35
Ifran,3,213.992,2.0,1095560,10.35
Ifran,1,115.184,1.0,865012,10.35
Ifran,6,234.784,4.0,1352217,10.35
Ifran,6,307.28,4.0,1570221,10.35
Ifran,6,287.96,4.0,1448102,10.35
Ifran,6,264.04,3.0,1416003,10.35
Ifran,3,205.896,2.0,1078317,10.35
Ifran,4,139.012,3.0,904973,10.35
Ifran,4,186.11599999999999,3.0,1161590,10.35
Ifran,3,130.18,2.0,767257,10.35
Ifran,6,282.164,3.0,1718425,10.35
Ifran,2,115.64399999999999,2.0,741568,10.35
Ifran,6,279.21999999999997,4.0,1848177,10.35
Ifran,6,284.832,3.0,1421600,10.35
Ifran,5,291.73199999999997,3.0,1606410,10.35
Ifran,5,226.228,3.0,1138107,10.35
Ifran,3,149.316,3.0,681156,10.35
Ifran,4,170.752,3.0,1087094,10.35
Ifran,4,178.664,2.0,1137985,10.35
Ifran,4,185.748,2.0,964436,10.35
Ifran,6,243.524,4.0,1359825,10.35
Safi,6,232.11599999999999,4.0,1410025,10.35
Safi,2,104.604,1.0,895384,10.35
Safi,4,168.452,3.0,939457,10.35
Safi,4,210.68,3.0,1187986,10.35
Safi,5,263.12,3.0,1252852,10.35
Safi,2,118.77199999999999,1.0,720321,10.35
Safi,3,131.008,1.0,820022,10.35
Safi,3,175.628,2.0,987149,10.35
Safi,5,255.11599999999999,3.0,1441715,10.35
Safi,4,134.412,2.0,835473,10.35
Safi,3,213.716,3.0,1084606,10.35
Safi,1,93.932,1.0,413532,10.35
Safi,6,289.892,3.0,1540649,10.35
Safi,6,315.928,4.0,1553693,10.35
Safi,3,138.0,1.0,833405,10.35
Safi,1,96.324,1.0,606219,10.35
Safi,3,210.68,2.0,1021608,10.35
Safi,3,143.98,3.0,937508,10.35
Safi,4,129.628,1.0,770175,10.35
Safi,5,226.136,4.0,1124958,10.35
Safi,3,147.108,2.0,917817,10.35
Safi,6,318.32,3.0,1834635,10.35
Safi,1,95.22,1.0,619926,10.35
Safi,6,247.204,3.0,1380736,10.35
Safi,1,98.348,2.0,513174,10.35
Safi,6,303.508,4.0,1600144,10.35
Safi,2,89.056,1.0,537622,10.35
Safi,6,244.536,4.0,1383626,10.35
Safi,4,167.072,3.0,1041834,10.35
Safi,2,109.756,2.0,818753,10.35
Safi,3,201.204,2.0,948400,10.35
Safi,5,303.508,4.0,1493499,10.35
Safi,2,116.748,2.0,784741,10.35
Safi,1,75.44,2.0,418576,10.35
Safi,3,172.96,3.0,1066765,10.35
Safi,3,219.144,3.0,1121797,10.35
Safi,6,271.952,4.0,1176689,10.35
Safi,5,258.52,4.0,1177496,10.35
Safi,4,140.3,2.0,944219,10.35
Safi,3,189.33599999999998,3.0,1141968,10.35
Safi,6,283.268,4.0,1411880,10.35
Safi,4,125.396,2.0,824810,10.35
Safi,3,161.644,3.0,924218,10.35
Safi,5,241.316,3.0,1415878,10.35
Safi,5,248.308,4.0,1387343,10.35
Safi,5,243.524,4.0,1125177,10.35
Safi,5,283.728,4.0,1766168,10.35
Safi,5,292.928,3.0,1847656,10.35
Safi,1,105.15599999999999,2.0,946185,10.35
Safi,6,285.384,3.0,1618118,10.35
Berrched,6,301.20799999999997,4.0,1785900,10.35
Berrched,1,89.976,2.0,408144,10.35
Berrched,5,226.228,4.0,1130353,10.35
Berrched,4,183.172,2.0,1027581,10.35
Berrched,5,255.11599999999999,4.0,1288759,10.35
Berrched,6,299.92,4.0,1699021,10.35
Berrched,6,280.048,4.0,1636481,10.35
Berrched,1,119.6,2.0,853810,10.35
Berrched,5,235.428,3.0,1226151,10.35
Berrched,4,175.996,2.0,1135241,10.35
Berrched,5,247.112,4.0,1213228,10.35
Berrched,5,276.368,3.0,1783131,10.35
Berrched,2,79.02799999999999,2.0,688907,10.35
Berrched,3,128.892,2.0,849675,10.35
Berrched,6,306.36,4.0,1600345,10.35
Berrched,4,171.488,2.0,986223,10.35
Berrched,1,102.672,2.0,879368,10.35
Berrched,2,118.404,2.0,893071,10.35
Berrched,4,183.54,2.0,1045468,10.35
Berrched,3,153.732,3.0,943812,10.35
Berrched,5,292.008,4.0,1403942,10.35
Berrched,3,214.728,2.0,990832,10.35
Berrched,1,83.352,2.0,610990,10.35
Berrched,4,161.368,2.0,920836,10.35
Berrched,2,75.80799999999999,1.0,658714,10.35
Berrched,4,127.788,1.0,903801,10.35
Berrched,6,265.42,4.0,1426901,10.35
Berrched,4,130.364,1.0,786986,10.35
Berrched,6,315.468,4.0,1477692,10.35
Berrched,3,157.504,3.0,942655,10.35
Berrched,5,305.992,3.0,1781016,10.35
Berrched,5,271.86,3.0,1174885,10.35
Berrched,4,212.98,2.0,1132631,10.35
Berrched,4,140.576,3.0,825223,10.35
Berrched,5,286.856,3.0,1445658,10.35
Berrched,5,264.96,3.0,1374772,10.35
Berrched,1,84.088,1.0,405569,10.35
Berrched,1,103.592,1.0,920728,10.35
Berrched,6,285.752,4.0,1467236,10.35
Berrched,5,282.532,3.0,1651534,10.35
Berrched,6,234.968,3.0,1284108,10.35
Berrched,4,193.844,2.0,1159590,10.35
Berrched,4,147.56799999999998,3.0,692807,10.35
Berrched,1,71.484,2.0,652666,10.35
Berrched,2,87.124,1.0,434344,10.35
Berrched,6,239.936,3.0,1378123,10.35
Berrched,2,114.53999999999999,2.0,684693,10.35
Berrched,3,174.248,2.0,1169785,10.35
Berrched,1,109.29599999999999,1.0,737674,10.35
Berrched,6,274.896,4.0,1151592,10.35
Berrched,6,315.468,4.0,1568498,10.35
Berrched,5,283.176,3.0,1842906,10.35
Berrched,6,291.088,4.0,1472997,10.35
Berrched,6,282.808,3.0,1595914,10.35
Berrched,5,320.712,4.0,1636298,10.35
Berrched,6,290.628,3.0,1485124,10.35
Berrched,3,185.472,3.0,1178821,10.35
Berrched,6,278.116,4.0,1577579,10.35
Berrched,2,107.17999999999999,1.0,816477,10.35
Casablanca,6,246.652,4.0,1367126,4.3
Casablanca,3,217.028,3.0,1051452,4.3
Casablanca,4,157.228,2.0,699132,4.3
Casablanca,5,239.016,3.0,1167966,4.3
Casablanca,1,73.968,1.0,629119,4.3
Casablanca,4,138.09199999999998,,892397,4.3
Casablanca,3,178.388,3.0,1118363,4.3
Casablanca,5,230.368,4.0,1186279,4.3
Casablanca,6,245.82399999999998,4.0,1169887,4.3
Casablanca,4,181.424,3.0,1135446,4.3
Casablanca,2,85.28399999999999,1.0,531669,4.3
Casablanca,1,92.55199999999999,1.0,654674,4.3
Casablanca,6,319.884,3.0,1797644,4.3
Casablanca,5,308.476,3.0,1873679,4.3
Casablanca,1,102.304,2.0,792470,4.3
Casablanca,4,122.176,1.0,691444,4.3
Casablanca,3,211.048,3.0,968653,4.3
Casablanca,4,202.85999999999999,3.0,992278,4.3
Casablanca,6,240.672,3.0,1381586,4.3
Casablanca,4,184.46,2.0,1076581,4.3
Casablanca,1,75.256,1.0,481881,4.3
Casablanca,5,294.4,4.0,1535714,4.3
Casablanca,5,228.62,4.0,1348113,4.3
Casablanca,4,178.48,3.0,1059043,4.3
Casablanca,6,247.388,4.0,1132175,4.3
Casablanca,6,311.236,3.0,1552841,4.3
Casablanca,4,146.74,3.0,766561,4.3
Casablanca,6,229.448,4.0,1139775,4.3
Casablanca,3,213.716,3.0,1006669,4.3
Casablanca,6,309.12,4.0,1615410,4.3
Casablanca,6,307.28,3.0,1504128,4.3
Casablanca,6,261.096,4.0,1195330,4.3
Casablanca,3,195.316,3.0,937358,4.3
Casablanca,1,103.868,2.0,932475,4.3
Casablanca,3,173.788,3.0,959484,4.3
Casablanca,6,290.536,3.0,1692002,4.3
Casablanca,5,238.74,3.0,1109298,4.3
Casablanca,1,80.96,1.0,594744,4.3
Casablanca,6,313.26,3.0,1606998,4.3
Casablanca,6,238.648,3.0,1314430,4.3
Casablanca,5,238.096,3.0,1244959,4.3
Casablanca,1,105.34,2.0,894358,4.3
Casablanca,5,319.792,4.0,1814157,4.3
Casablanca,6,310.5,4.0,1894758,4.3
Casablanca,3,159.16,3.0,721216,4.3
Casablanca,1,113.16,1.0,866464,4.3
Casablanca,1,111.596,2.0,692677,4.3
Casablanca,3,196.512,3.0,991447,4.3
Casablanca,4,180.964,2.0,1181963,4.3
Casablanca,1,96.6,1.0,632319,4.3
Casablanca,4,170.292,2.0,1027168,4.3
Casablanca,6,282.532,3.0,1657568,4.3
Casablanca,3,156.85999999999999,2.0,901497,4.3
Casablanca,4,206.07999999999998,3.0,1058326,4.3
Casablanca,3,166.152,2.0,1089005,4.3
Casablanca,2,73.232,2.0,485382,4.3
Casablanca,3,214.636,2.0,1166540,4.3
Casablanca,6,269.376,3.0,1211646,4.3
Casablanca,5,302.772,3.0,1541059,4.3
Casablanca,5,300.84,4.0,1804205,4.3
Casablanca,6,286.67199999999997,4.0,1551255,4.3
Casablanca,3,139.38,3.0,797975,4.3
Casablanca,4,145.452,3.0,827728,4.3
Casablanca,3,212.06,3.0,981937,4.3
Casablanca,3,163.208,3.0,733781,4.3
Casablanca,6,282.164,4.0,1788361,4.3
Casablanca,6,291.364,3.0,1451309,4.3
Casablanca,4,141.772,2.0,681227,4.3
Casablanca,5,237.176,3.0,1115784,4.3
Casablanca,5,298.448,3.0,1742990,4.3
Casablanca,6,316.296,3.0,1543833,4.3
Casablanca,1,119.324,1.0,810235,4.3
Casablanca,3,179.768,3.0,992509,4.3
Casablanca,5,251.344,3.0,1400994,4.3
Casablanca,5,272.044,3.0,1250886,4.3
Casablanca,6,237.728,3.0,1327559,4.3
Casablanca,6,259.164,4.0,1350759,4.3
Casablanca,4,161.184,2.0,852176,4.3
Casablanca,3,200.744,3.0,1025236,4.3
Casablanca,1,77.832,1.0,600963,4.3
Casablanca,1,113.62,1.0,681093,4.3
Casablanca,3,132.388,2.0,734932,4.3
Casablanca,6,233.404,4.0,1210226,4.3
Casablanca,3,165.876,2.0,1065924,4.3
Casablanca,4,214.82,2.0,1018783,4.3
Casablanca,5,226.04399999999998,3.0,1234399,4.3
Casablanca,5,268.364,4.0,1287676,4.3
Casablanca,4,162.012,3.0,698087,4.3
Casablanca,5,318.964,3.0,1660911,4.3
Casablanca,6,306.176,3.0,1562352,4.3
Casablanca,4,198.444,3.0,929046,4.3
Casablanca,4,133.85999999999999,1.0,925918,4.3
Casablanca,1,118.036,1.0,773868,4.3
Casablanca,3,175.168,2.0,1057921,4.3
Casablanca,4,215.096,3.0,1150142,4.3
Casablanca,3,123.188,1.0,776895,4.3
Casablanca,6,252.26399999999998,3.0,1287519,4.3
Casablanca,6,223.376,4.0,1291316,4.3
Casablanca,1,98.89999999999999,1.0,461015,4.3
Casablanca,1,106.352,1.0,690879,4.3
Casablanca,4,127.512,1.0,948006,4.3
Casablanca,1,70.288,2.0,529868,4.3
Casablanca,6,307.096,4.0,1828390,4.3
Casablanca,2,113.344,1.0,719077,4.3
Casablanca,1,111.78,1.0,852163,4.3
Casablanca,4,149.96,2.0,873692,4.3
Casablanca,4,135.516,2.0,838545,4.3
Casablanca,6,224.204,4.0,1239585,4.3
Casablanca,1,85.836,2.0,425032,4.3
Casablanca,2,69.276,1.0,538244,4.3
Casablanca,4,137.632,2.0,790739,4.3
Casablanca,3,201.756,2.0,935412,4.3
Casablanca,2,119.048,2.0,702076,4.3
Casablanca,5,295.504,3.0,1756985,4.3
Casablanca,6,295.13599999999997,3.0,1783051,4.3
Tetouan,6,240.396,3.0,1208344,10.35
Tetouan,5,278.944,4.0,1871925,10.35
Tetouan,6,274.15999999999997,4.0,1337713,10.35
Tetouan,3,147.66,3.0,720965,10.35
Tetouan,2,77.28,1.0,520848,10.35
Tetouan,5,276.92,3.0,1866481,10.35
Tetouan,6,282.164,4.0,1500307,10.35
Tetouan,6,252.172,3.0,1280643,10.35
Tetouan,2,107.824,1.0,734447,10.35
Tetouan,4,165.416,3.0,838670,10.35
Tetouan,5,278.392,3.0,1645657,10.35
Tetouan,4,209.944,3.0,1090158,10.35
Tetouan,5,299.368,3.0,1510173,10.35
Tetouan,2,81.88,2.0,420242,10.35
Tetouan,6,251.712,3.0,1121655,10.35
Tetouan,3,211.232,3.0,1193151,10.35
Tetouan,5,290.168,4.0,1799789,10.35
Tetouan,1,70.84,2.0,465917,10.35
